和子女王	And son queen 
赛车游戏	Racing game 
后黎朝	Later Li Dynasty 
育碧蒙特娄	Ubisoft Montreal 
半人马座火箭	Centaur Rockets 
缅因州红钳	Maine Red Clamp 
信德省省长	Governor of Sindh 
近藤孝行	Takayuki Kondo 
社会革新党	Social Innovation Party 
阮美凤	Ruan Meifeng 
研究系	Research Department 
杉本裕之	Hiroyuki Sugimoto 
曾大仁	Zeng Daren 
安定思公主	Princess Andens 
威斯特法伦王国	Kingdom of Westphalia 
英祖_(琉球国王)	Yingzu_ (King of Ryukyu) 
法国外籍兵团	French Foreign Corps 
布朗运动	Brownian motion 
存天理、灭人欲	Save the truth and destroy the desire 
小亚伯拉罕·林肯	Abraham Lincoln Jr 
宝安体育中心	Baoan Sports Center 
熊井友理奈	Yurina Kumai 
不列颠皇家海军学院	Royal British Naval Academy 
先进统一党	Advanced Unity Party 
中和线	Neutral line 
罗马尼亚陆军	Romanian Army 
恭仁京	Kyung In Kyung 
加速感应器	Acceleration sensor 
普鲁士首相列表	List of Prime Ministers of Prussia 
丹波体育俱乐部	Tanba Sports Club 
后乐园	Korakuen 
播磨浩谦	Hirokane Harima 
沙田官立中学	Shatin Government Secondary School 
蓝调音乐家列表	List of blues musicians 
jp:藤原顕信	jp: Fujiwara Yushin 
马克西米连·冯·魏克斯	Maximilian von Weikes 
王裕民	Wang Yumin 
伊玛目广场	Imam Square 
汉德洛瓦	Handlova 
陈彦政	Chen Yanzheng 
六平光成	Liuping Guangcheng 
魔界女王候补生	Devil Queen Candidate 
山地元治	Yamaji Motoji 
迪史唐美	Distorney 
中国共产党第十八次全国代表大会	The 18th National Congress of the Communist Party of China 
全州大学	Jeonju University 
越南国家银行	National Bank of Vietnam 
国际社会驻波黑高级代表	High Representative of the International Community in Bosnia and Herzegovina 
伯姆卢	Bomlu 
国立复旦大学	National Fudan University 
威尔斯足球协会	Wales Football Association 
马宁_(足球裁判)	Ma Ning_(Football Referee) 
加告兹自治区政府	Government of Gagauz Autonomous Region 
第二届哈达内阁	The 2nd Hatta Cabinet 
斯云拿	Swinner 
洪赐丞	Hong Cicheng 
布朗车队	Brown Racing 
梶裕贵	Kaji Yuuki 
尹兆坚	Yin Zhaojian 
打蛇绝技	Snake stunt 
圣保罗球场	St. Paul Stadium 
卡拉维拉尔角空军基地	Caravelle Air Force Base 
都仓贤	Tokura Ken 
墨西哥摇滚	Mexican Rock 
加藤秀典	Hidenori Kato 
维沙卡帕特南	Visakhapatnam 
西野贵治	Takaharu Nishino 
马来西亚国徽	National Emblem of Malaysia 
电脑游戏世界	Computer game world 
s:中华人民共和国人民法院组织法	s: Organic Law of the People's Courts of the People's Republic of China 
黎兆荣	Li Zhaorong 
港后里	Ganghouli 
心理学恐惧	Psychological fear 
迷失剧集列表	List of lost episodes 
加拿大黄桦	Yellow birch 
latium	indium 
伊利亚·普里高津	Ilya Prigogine 
历基达洛域治	Likidalovic 
全印度足球协会	All India Football Association 
刚果民主共和国总统	President of the Democratic Republic of Congo 
瓦达足球俱乐部	Vada Football Club 
csi犯罪现场：纽约	csi crime scene: New York 
神懿王后	Queen Shen Yi 
清和政策研究会	Qinghe Policy Research Association 
摇滚表演者列表	List of rock performers 
国土交通大臣	Minister of Land, Infrastructure and Transport 
希望之光	Light of hope 
学人精	Learn to learn 
弗利_(义大利)	Forli_ (Italy) 
as-61	as-61 
纽约体育场	New York Stadium 
耶路撒冷贝塔足球俱乐部	Jerusalem Beta Football Club 
刘彦平	Liu Yanping 
俾路支地区	Balochistan 
苏联共产党中央委员会	Central Committee of the Communist Party of the Soviet Union 
育碧回声	Ubisoft Echo 
阿穆尔河畔共青城	Komsomolsk on Amur 
珀斯机场	Perth Airport 
山东省第三行政督察区	Third Administrative Inspection District of Shandong Province 
英国蓝调	British Blues 
兹林足球俱乐部	Zlin Football Club 
吉打足球协会	Kedah Football Association 
抹大拉的马利亚	Mary Magdalene 
南京南动车组运用所	Nanjing South EMU Operation Office 
傅嘉莉	Fu Jiali 
老挝人民革命青年团	Lao People's Revolutionary Youth League 
.kh	.x 
奥斯特里茨战役	Battle of Austerlitz 
朱民阳	Zhu Minyang 
什鲁斯伯里和阿查姆_(英国国会选区)	Shrewsbury and Acharm_ (UK Parliamentary District) 
曾倢霏	Zeng Jifei 
中尾彬	Nakao Bin 
穆郡王	King Mu 
华人星光大道	Chinese Million Star 
天空蓝	sky blue 
法律实证主义	Legal positivism 
南安普敦足球俱乐部	Southampton Football Club 
陆皇后	Queen Lu 
矢岛舞美	Maimi Yajima 
横冲直撞系列	Rampage series 
古希腊哲学家列表	List of Ancient Greek Philosophers 
赵硕之	Zhao Shuozhi 
爱尔兰人	Irishman 
德葩大学	Depa University 
长谷川智树	Tomoki Hasegawa 
伦敦市长_(大伦敦)	Mayor of London_(Greater London) 
bigloo	bigloo 
电容多点触控屏	Capacitive multi-touch screen 
中国人民解放军海军军衔	Naval rank of the Chinese People's Liberation Army 
台北市立建国高级中学	Taipei City Jianguo Senior High School 
武清话	Wuqing Dialect 
星球日报	Planet Daily 
汤古代	Tang Gu 
mayor-council	mayor-council 
夫利佛兰省女王专员列表	List of Commissioners of the Queen of Flevoland 
天使投资者	Angel investor 
邓本元	Deng Benyuan 
离岛区议会	Islands District Council 
深井正树	Fukai Masaki 
体现的认知	Embodied cognition 
弗朗索瓦二世	Francois II 
曼联足球俱乐部	Manchester United Football Club 
手越增田	Tegomass Masuda 
群马县旗	Gunma Prefecture Flag 
马蒂诺四世	Martino IV 
伊朗海军工业局	Iranian Naval Industry Bureau 
北京市福田公墓	Beijing Futian Cemetery 
山下达也	Yamashita Tatsuya 
ugilt	invalid 
onepass	onepass 
安提瓜和巴布达君主	Monarch of Antigua and Barbuda 
霍尔效应	Hall Effect 
吴光杰	Wu Guangjie 
超级巨声3	Super Giant 3 
放浪男孩	Stray boy 
赵乐秦	Zhao Leqin 
亚塞拜然总统	President of Azerbaijan 
fullerian_生理学教授	fullerian_ professor of physiology 
罗素悖论	Russell Paradox 
比斯开湾	Biscay 
开放手机联盟	Open Mobile Alliance 
中国中央电视台法语国际频道	French International Channel of China Central Television 
第二次巴尔干战争	Second Balkan War 
复兴车库摇滚	Revival garage rock 
mathcore	mathcore 
准噶尔部	Junggar 
东区街道_(中山市)	East District Street_(Zhongshan City) 
一桥德川家	Hitotsubashi Tokugawa House 
梅子布丁模型	Plum Pudding Model 
加利福尼亚大学旧金山分校	University of California, San Francisco 
区域铁路	Regional railway 
paxos算法	paxos algorithm 
酒井高圣	Sakai Takasho 
希腊正教	Greek Orthodox 
传统布里亚特蒙古文	Traditional Buryat Mongolian 
乌拉圭奥运足球代表队	Uruguay Olympic Football Team 
赤岭真吾	Shingo Akashima 
波尼亚托夫斯基王室	Royal Family of Poniatowski 
香港二毫硬币	Hong Kong Two Cents Coin 
土龙木市社	Tu Long Mo City Club 
李进勋	Li Jinxun 
斋藤美海	Saito Mihai 
古匈牙利字母	Ancient Hungarian alphabet 
顶寮里	Dingliao Li 
新贵人	Upstart 
标致207	Peugeot 207 
塞尔维亚自治市	Serbian Municipality 
光荣特库摩wave	Koei Tecmo wave 
张军_(足球运动员)	Zhang Jun_ (football player) 
潘彦昕	Pan Yanxin 
nine：九回时间旅行	nine: nine time travel 
1920年捷克斯洛伐克宪法	Constitution of Czechoslovakia of 1920 
恭嫔_(乾隆帝)	Congratulations_ (Emperor Qianlong) 
中华人民共和国沿海开放城市	Open cities along the coast of the People's Republic of China 
法国财政部	French Ministry of Finance 
纳席尔内阁	Nasir Cabinet 
武汉新纪元足球俱乐部	Wuhan New Era Football Club 
波兰共和国社会民主党	Social Democratic Party of the Republic of Poland 
巴顿将军	General Patton 
黑暗骑士	dark Knight 
桃园航勤	Taoyuan Air Service 
福田康夫改造内阁	Yasuo Fukuda transforms the cabinet 
古希腊文学	Ancient Greek Literature 
子弹上膛乐团	Bullet Loading Band 
摩纳哥统治者列表	List of rulers of Monaco 
后宫甄嬛传_(电视剧)	The Legend of Zhen Huan in the Harem_(TV series) 
明定陵	Mingding Tomb 
杜老志	Du Laozhi 
献仁陵	Xianren Mausoleum 
德国联邦家庭事务、老年、妇女及青年部	German Federal Ministry of Family Affairs, Aging, Women and Youth 
左派民族主义	Leftist nationalism 
变种人学校	Mutant School 
科纳斯组织	Konas Organization 
伦敦摩天大楼列表	List of London skyscrapers 
内部的实在论	Internal realism 
曾亚英	Zeng Yaying 
蒙特费拉的康拉德	Conrad of Montferra 
阿尔苏怀克体育会	Al Suwaik Sports Club 
保守党主席	Conservative Party Chairman 
邦本_宜裕	Bangben_Yiyu 
包头奥体中心	Baotou Olympic Sports Center 
北大西洋公约组织旗	North Atlantic Treaty Organization flag 
世途上	In the world 
恩斯特·奥古斯特二世_(汉诺威)	Ernst August II_ (Hannover) 
格雷斯竞技足球俱乐部	Grace Athletic Football Club 
佛斯特伙伴公司	Foster Partners 
依娃：安铎之役	Eva: Battle of Andor 
二十世纪哲学	Twentieth Century Philosophy 
于迅	Yu Xun 
支线飞机	Regional aircraft 
徐萍华	Xu Pinghua 
boppard	boppard 
亚琛足球俱乐部	Aachen Football Club 
野上结贵	Yuki Nogami 
alaungpaya	Alaungpaya 
尤汉邦	Uhanbang 
内政部长(法国)列表	List of Ministers of the Interior (France) 
直接民主制	Direct democracy 
法兰西斯·达什伍德，第十五代拿达史宾塞男爵	Francis Dashwood, 15th Baron Nada Spencer 
.gl	.gI 
严丽华	Yan Lihua 
圣吉龙_(阿列日省)	Saint-Giron_ (Ariège) 
奄美-冲绳语群	Amami-Okinawa Group 
坦噶尼喀总统	President of Tanganyika 
中华民国初年国会	National Congress of the Republic of China 
泰高	Yasutaka 
艾维斯体育会	Avis Sports Club 
王秋明	Wang Qiuming 
香港教育学院	Hong Kong Institute of Education 
芬兰19岁以下国家足球队	Finland Under-19 National Football Team 
关康全	Guan Kangquan 
爱德华·格雷，第一代佛罗敦的格雷子爵	Edward Gray, the first Viscount Gray of Frodon 
浦那足球会	Pune Football Club 
金铃银索	Gold bell silver cable 
新加坡人力部	Singapore Ministry of Manpower 
般奴·芝禾尔	Bannu Zhiheer 
太平洋时间	Pacific Time 
动画国际公司	Animation International 
俄国白军	Russian White Army 
夏威夷州第二国会选区	Second Congressional District of Hawaii 
韦恩企业	Wayne Enterprises 
影子外务大臣	Shadow minister of foreign affairs 
派翠克·怀特，列治文的怀特男爵	Patrick White, Baron White of Richmond 
集体安全	Collective security 
卡尔·奥古斯特_(萨克森-魏玛-艾森纳赫)	Karl August (Saxony-Weimar-Eisenach) 
前420年	420 years ago 
probot	Probot 
埃及足球超级联赛	Egyptian Premier League 
斗六郡	Douliu County 
大久保站_(东京都)	Okubo Station_(Tokyo) 
英国陆军元帅	British Field Marshal 
台湾警备总司令部	Taiwan Garrison Command 
立陶宛银行	Bank of Lithuania 
荷语天主教鲁汶大学	Dutch Catholic University of Leuven 
锅岛修	Nabeshima Osa 
中华人民共和国军事编制	Military establishment of the People's Republic of China 
庆贞公主	Princess Qingzhen 
有薗真吾	Shingo Arizono 
杨允申	Yang Yunshen 
爱情喜剧	Romantic comedy 
托尔讷河谷	Torne Valley 
无段自动变速器	Continuously variable automatic transmission 
社会主义国家	Socialist countries 
反共济会党	Anti-masonic party 
梁智强	Liang Zhiqiang 
梅林足球俱乐部	Merlin Football Club 
杰克·科比名人纪念馆	Jack Kobe Hall of Fame 
锂离子电池	Lithium Ion Battery 
刘钧_(北汉)	Liu Jun_ (Northern Han Dynasty) 
许锺碧霞	Xu Zhong Bixia 
图卢兹的科森	Corson of Toulouse 
美国陆军工程兵团	U.S. Army Corps of Engineers 
李奥华克	Leo Walker 
法律政策专员	Legal Policy Specialist 
已退役	Retired 
叙亚努	Suanu 
法鲁姆公园体育场	Farum Park Stadium 
向您致敬，尼加拉瓜	Tribute to you, Nicaragua 
图尔库大学	Turku University 
柏林克罗伊茨贝格区	Kreuzberg, Berlin 
.tl	.tl 
织田秀信	Hidenobu Oda 
湖南娱乐频道	Hunan Entertainment Channel 
共和党全国委员会	Republican National Committee 
老麦坚迪	Old McGuinty 
国家法律联盟	National Legal Union 
西非国家中央银行	Central Bank of West African Countries 
何卓恒	He Zhuoheng 
德国联邦经济和科技部	German Federal Ministry of Economics and Technology 
李俊烨	Li Junye 
冠忠巴士集团	Guanzhong Bus Group 
达拉斯德州人	Dallas Texans 
香港司法机构	Hong Kong Judiciary 
国家战争学院	National War College 
敦明亲王	Prince Dunming 
挪威青年保守派	Norwegian young conservatives 
清宫秘史	The Secret History of the Qing Palace 
长公主	Princess 
格尔哈德大公_(奥地利-埃斯特)	Archduke Gerhard_(Austria-Este) 
肩野皇女	Princess Shoulder 
美国空军部	U.S. Air Force 
阿尔科威特体育俱乐部体育场	Alcuwait Sports Club Stadium 
邵玉轩	Shao Yuxuan 
杭州芝浦足球俱乐部	Hangzhou Shibaura Football Club 
认同、传统、主权	Identity, tradition, sovereignty 
崔午百	Cui Wubai 
眼中的银幕	The screen in the eyes 
吉尔伯特及马绍尔群岛战事	Gilbert and the Marshall Islands war 
胡贝图斯(1909–1943)_(萨克森-科堡-哥达)	Hubertus (1909–1943)_(Saxony-Coburg-Gotha) 
山口县旗	Yamaguchi Prefecture Flag 
证券经纪人	Securities brokers 
慈德院殿	Temple of Ci Deyuan 
首都大区	Capital Region 
红牛第二车队	Red Bull Second Team 
海北藏族自治州	Haibei Tibetan Autonomous Prefecture 
贝南蒂乌斯_(507年的执政官)	Benantius_ (Consul in 507) 
末日金属	Doomsday Metal 
陆军金门防卫指挥部	Army Golden Gate Defense Command 
后油渍	After grease 
展拓香港界址专条	Zhantuo Hong Kong Boundary Site Special Article 
悠仁亲王	Prince Yohito 
长城战役	Battle of the Great Wall 
安东尼奥·斯塔拉巴_(鲁迪尼侯爵)	Antonio Staraba_ (Marquis Rudini) 
潘文杰_(足球运动员)	Pan Wenjie_ (football player) 
权英真	Kwon Young Jin 
内坦亚马加比足球俱乐部	Netanya Maccabi Football Club 
台中县第四选举区	Taichung County Fourth Electoral District 
总警监	Chief Inspector 
赫伯特·塞缪尔，第一代塞缪尔子爵	Herbert Samuel, the first Viscount Samuel 
意大利众议院	Italian House of Representatives 
江苏省人民政府	People's Government of Jiangsu Province 
贝连拿戴拿模	Belinda Dynamo 
苏丹苏莱曼清真寺	Sultan Suleymaniye Mosque 
柿原优子	Yuko Kakihara 
松柏坑溪	Songbaikengxi 
费萨尔·本·阿卜杜勒-阿齐兹·阿勒沙特	Faisal Bin Abdul-Aziz Al Shat 
前309年	309 years ago 
俞汶蔚	Yu Wenwei 
学术期刊	Academic journals 
索塞斯克伯爵夫人莫德郡主	Lord Maud, Countess of Southesque 
津保铁路	Jinbao Railway 
俄罗斯联邦宪法	Constitution of the Russian Federation 
一不小心爱上你	Fall in love with you accidentally 
韩鹏_(女子足球运动员)	Han Peng_ (female football player) 
舒克里·库瓦特里	Shukri Kuvatri 
全国中等学校足球联赛	National Secondary School Football League 
.af	.of 
林凡	Lin Fan 
约克郡大学联盟	Yorkshire University League 
东北高加索语	Northeast Caucasian 
檨脚里	In the feet 
莱斯利·布赖恩·费里斯东	Leslie Brian Ferriston 
新垣结衣	Yui Aragaki 
莱克星顿公墓	Lexington Cemetery 
文学评论家	Literary critic 
洛杉矶世界机场	Los Angeles World Airport 
李汉宰	Lee Han Jae 
国立凤山高级中学	National Fengshan Senior High School 
四川遂宁体育中心	Sichuan Suining Sports Center 
米纳斯吉拉斯州天主教大学	Catholic University of Minas Gerais 
内政部户政司	Department of Household Registration, Ministry of the Interior 
芬兰统治者列表	List of rulers of Finland 
高丽太祖	Goryeo Taizu 
小南门线	Xiaonanmen Line 
威廉·欧文_(澳大利亚政治家)	William Irving_ (Australian politician) 
尼古拉斯_(希腊王子)	Nicholas_ (Prince of Greece) 
日本白松	Japanese White Pine 
嘉峰里	Jiafengli 
裴雪基	Pei Xueji 
舟形町	Funagata Town 
饭尾一庆	Iio Kazuyuki 
伦敦大学金匠学院	Goldsmiths College, University of London 
威廉十世_(阿基坦_(_亚奎丹_)公爵)	William X_(Duke of Aquitaine_(_Yaquitain_)) 
约翰·范恩，第十代威斯特摩兰伯爵	John Fann, 10th Earl of Westmoreland 
马塞约	Maceió 
范植谷	Fan Zhigu 
安德莱赫特足球俱乐部	Anderlecht Football Club 
德国国家足球乙队	German National Football Team 
ub40	ub40 
济南西动车组运用所	Jinan West EMU Operation Station 
住友重工业	Sumitomo Heavy Industries 
多范型程式语言	Multi-paradigm programming language 
重松金子	Kaneko Shigematsu 
威廉王子_(剑桥公爵)	Prince William_ (Duke of Cambridge) 
藤崎圣人	Fujisaki Sage 
瓜拉廷格塔足球俱乐部	Guaratingueta Football Club 
社会正义	Social justice 
科学社会主义	science communism 
恶之华_(2009年漫画)	Hua of Evil_ (2009 Manga) 
nampho	nampho 
二之汤智	Nino Yuchi 
让-马塞尔·让纳内	Jean-Marcel Jeannenet 
莫祖锡奥林匹克体育场	Mozuxi Olympic Stadium 
康拉德四世	Conrad IV 
2006年冬季奥林匹克运动会	2006 Winter Olympic Games 
欧洲被害犹太人纪念碑	Memorial to the Murdered Jews of Europe 
阿基坦的阿德莱德	Adelaide of Aquitaine 
比亚里茨	Biarritz 
弗拉芒利益	Flemish interests 
冲电气工业	OKI Industry 
太空梭固体助推器	Space Shuttle solid booster 
清华大学体育部	Tsinghua University Sports Department 
风云：雄霸天下_(2002年电视剧)	Wind and Cloud: Domination of the World_ (2002 TV series) 
小寺优辉	Kodera Yuki 
德国国徽	German national emblem 
大联盟执行长	Chief Executive Officer 
弗林德勒斯成选区_(昆士兰州)	Flinders becomes a constituency_(Queensland) 
北卡罗来纳州查珀尔希尔分校	Chapel Hill, North Carolina 
.zr	.zr 
北爱尔兰慈善盾	Northern Ireland Charity Shield 
中国人民解放军军事科学院	Chinese People's Liberation Army Academy of Military Sciences 
慈孝献皇后	Empress of Compassion 
明善公主	Princess Mingshan 
老挝基普	Lao Kip 
里奇蒙_(约克郡)_(英国国会选区)	Richmond_(Yorkshire)_(British Parliamentary District) 
巴勒莫大学	University of Palermo 
非洲豹	African leopard 
湾岸午夜俱乐部	Wangan Midnight Club 
马尔克路二世	Mark Road II 
美国退伍军人事务部长	U.S. Secretary of Veterans Affairs 
中国国家队	China National Team 
伊斯玛仪一世	Ismail I 
中国人民政治协商会议全国委员会副主席	Vice Chairman of the National Committee of the Chinese People's Political Consultative Conference 
中华人民共和国人民检察院检徽	Procuratorate emblem of the People's Procuratorate of the People's Republic of China 
松田纯一	Matsuda Junichi 
米南德一世	Menander I 
长庆会盟	Changqing League 
施崇棠	Shi Chongtang 
大发工业株式会社	Daihatsu Industry Co., Ltd. 
知念侑李	Yuri Chinen 
哥伦比亚省份面积列表	List of Columbia Provinces by Area 
李宗盛	Li Zongsheng 
tvcatchup	tvcatchup 
古典制约	Classical constraints 
阿拉伯足协球会杯	Arab Football Association Cup 
沈阳地铁	Shenyang Metro 
杨家岭中央大礼堂	Yangjialing Central Auditorium 
统岭里	Tonglingli 
华航集团	China Airlines Group 
太平绅士	Justice of the Peace 
节宫贵子女王	Queen Takako 
南美洲女子足球锦标赛	South American Women's Football Championship 
逃学一姐	Truant sister 
质能等价	Mass-energy equivalence 
瑞穗号列车	Mizuho Train 
伦巴第-威尼托斯库多	Lombardy-Veneto Scudo 
图卢兹-布拉尼亚克机场	Toulouse-Blagnac Airport 
马耶亚德·安萨里	Mayyad Ansari 
极右翼	Extreme right 
马德里竞技俱乐部b队	Atletico Madrid b team 
凯德尔斯顿的寇松伯爵	Earl Curzon of Kedleston 
佩德罗二世	Pedro II 
石川刀子娘	Ishikawa Sword Lady 
关西棋院	Kansai Kiin 
梅加拉亚高等法院	Megaraya High Court 
豪华汽车	Luxury car 
巴西雷加塔斯俱乐部	Brazil Legatas Club 
尤柳什·塔尔纳瓦-马尔切夫斯基	Yulyush Tarnava-Marchevsky 
内科学	Internal Medicine 
李敏	Li Min 
大西洋标准时间	Atlantic Standard Time 
维尔德公园体育场	Wild Park Stadium 
也门穆塔瓦基利亚王国	Kingdom of Mutawakilla, Yemen 
改进党	Improve the party 
guitalele	guitalele 
阿灵顿国家公墓	Arlington National Cemetery 
香港五百元纸币	Hong Kong Five Hundred Dollar Notes 
李镇赫	Lee Jin Hyuk 
西肯塔基州大学	Western Kentucky University 
马克维尔高级中学	Markville High School 
列葛拔桑治	Ligbar Sangzhi 
南闪语支	South Semitic 
因帕尔	Impal 
印度文化	Indian culture 
华特迪士尼	Walt Disney 
小仓站_(福冈县)	Kokura Station_(Fukuoka Prefecture) 
黑色领结	Black bow tie 
伊庇鲁斯国王列表	List of Kings of Epirus 
荷尔斯泰因-戈托普的克里斯蒂娜	Christina of Holstein-Gotop 
邦加-勿里洞省	Bangka-Belitung Province 
克里斯蒂安妮·埃伯哈汀妮_(勃兰登堡-拜罗伊特克)	Christiane Eberhardtini_ (Brandenburg-Bayreutek) 
道格拉斯县_(华盛顿州)	Douglas County_ (Washington State) 
上海音乐学院	Shanghai Conservatory of Music 
李汉文	Li Hanwen 
伊拉克战争多国部队	Iraq War Multinational Force 
弗劳恩费尔德足球俱乐部	Fraunfeld Football Club 
圣卡坦奴体育会	San Catano Sports Club 
唐从圣	Tang Congsheng 
三田光	Hikaru Mita 
保禄二世	Paul II 
彼达迪华马卡比	Piedadewa Maccabi 
托勒密四世	Ptolemy IV 
伊丽莎白·都铎_(1492–1495)	Elizabeth Tudor_ (1492–1495) 
赵静波	Zhao Jingbo 
匹兹堡都会区	Pittsburgh Metropolitan Area 
科隆选侯国	Electorate of Cologne 
吉川昌之	Masayuki Yoshikawa 
一万日圆纸币	Ten thousand yen banknotes 
奥尔巴尼地主	Albany Landlord 
爱尔兰总督	Governor of Ireland 
赵苍璧	Zhao Cangbi 
断掌的女人	Woman with broken palm 
山形车站	Yamagata Station 
波兰共和国国防部部长	Minister of Defense of the Republic of Poland 
唐云舒	Tang Yunshu 
潘静如	Pan Jingru 
韩华集团	Hanwha Group 
标准表针足球会	Standard hands football club 
豪萨-关达拉语	Hausa-Guandala 
涩谷幕张高校	Shibuya Makuhari High School 
东方正统教会	Eastern Orthodox Church 
彼得格勒苏维埃	Petrograd Soviet 
psv埃因霍温	psv Eindhoven 
中国农业大学	China Agricultural University 
梁勇基	Ryang Yong Gi 
邓祖琳	Deng Zulin 
女王大学	Queen's University 
神奇女孩_(凯茜·桑兹马克)	Wonder Girl_ (Kathy Sandsmark) 
布列讷的约翰	John of Brienne 
荷兰新教	Dutch Protestant 
土耳其语字母	Turkish alphabet 
叶卡捷琳娜一世	Catherine I 
环球足球会	Global Football Club 
jp:藤原盛子_(藤原道长女)	jp: Fujiwara Moriko_ (Fujiwara Road eldest daughter) 
cd&v	sd & v 
德语正写法	German orthography 
蒲隆地共和国银行	Bank of the Republic of Burundi 
曹禺剧院	Cao Yu Theater 
jp:东海大学付属望星高等学校	jp: Tokai University Fu belongs to Wangxing High School 
加奥连	Gaolian 
波士顿开拓者	Boston Trail Blazers 
叙利亚社会民族党	Syrian social national party 
金熊奖	Golden Bear Award 
第二亚琛和约	Second Peace of Aachen 
列治高	Richco 
娱乐排排赞	Entertainment 
lichtenvoorde	lightsforde 
艺术哲学	Philosophy of art 
萨伊德比赫什蒂大学	Said Bihsti University 
香港警察轮艇	Hong Kong Police Boat 
菲利普王子_(巴黎伯爵)	Prince Philip_ (Earl of Paris) 
华伦西亚飓风足球俱乐部	Valencia Hurricane Football Club 
世袭君主制	Hereditary monarchy 
中国人民政治协商会议全国委员会香港地区委员	Member of the Hong Kong region of the National Committee of the Chinese People's Political Consultative Conference 
冰岛音乐	Icelandic music 
环境食物及郊野事务大臣	Minister of Environment, Food and Country Affairs 
大伦敦都会区	Greater London Metropolitan Area 
第一次巴勒斯坦大起义	The first Palestinian uprising 
第一劝业银行	First Quanye Bank 
分筋挫骨手	Split muscles 
三条实美	Sanjo Mimi 
崔圭伯	Cui Guibo 
伊利诺伊州众议院	Illinois House of Representatives 
欧洲语言	European languages 
声优白皮书	Voice actor white paper 
中都	Zhongdu 
通用希腊语	General Greek 
副省级自治州	Sub-provincial autonomous prefecture 
仁川亚运主体育场	Incheon Asian Games Main Stadium 
陈云英	Chen Yunying 
三亚凤凰国际机场	Sanya Phoenix International Airport 
快贷球馆	Quicken Loans Arena 
坦尚尼亚总统	President of Tanzania 
玉女心经	Jade Girl Heart Sutra 
北京地铁集团有限责任公司	Beijing Metro Group Co., Ltd. 
沙特阿拉伯王室	Royal Family of Saudi Arabia 
曹汉秉	Cao Hanbing 
魔法门系列	Magic Gate Series 
塞黑足球协会	Serbia and Montenegro Football Association 
巴顿_(澳大利亚国会选区)	Barton_(Australia Parliamentary District) 
草津温泉	Kusatsu Onsen 
高雄市政府	Kaohsiung City Government 
佐贺县旗	Saga Prefecture Flag 
b.a.	b.a. 
中共中央调查部	Investigation Department of the CPC Central Committee 
裴晋长	Pei Jinchang 
北盐原村	Kitashiobara Village 
重阳街道	Chongyang Jiedao 
八字胡斯文	Hussein 
民族解放党	National Liberation Party 
山本贵嗣	Atsuji Yamamoto 
镇江站	Zhenjiang Station 
特克公爵弗兰西斯	Francis, Duke of Turk 
永和里_(旗山区)	Yongheli_(Qishan District) 
坎伯兰县_(宾夕法尼亚州)	Cumberland County_(Pennsylvania) 
庆尚南道	Gyeongsangnam-do 
中央管河川	Central Pipe River 
后哲学	Post-philosophy 
a.p.p.p.	a.p.p.p. 
幸福双人床	Happiness double bed 
中狭义班图语群	Bantu Group 
北突厥语支	North Turkic 
哈尔滨话	Harbin Dialect 
维多利亚公主_(萨克森-科堡-萨尔费尔德)	Princess Victoria_(Saxony-Coburg-Saalfeld) 
山田凉介	good 
新加坡电视频道列表	Singapore TV channel list 
恩斯特·奥古斯特_(汉诺威王储)	Ernst August_ (Crown Prince of Hanover) 
天地合娱乐	Tiandihe Entertainment 
北京地下直径线	Beijing Underground Diameter Line 
柔佛海峡	Strait of Johor 
伊朗专家议会	Iranian council of experts 
护法运动	Law Protection Movement 
政党领袖	Party leader 
第3军_(日本陆军)	3rd Corps_ (Japanese Army) 
艾谢·哈芙莎苏丹	Sultan Ashhavsha 
底特律蓝调	Detroit Blues 
司提反十世	Stephen X 
马尼乌斯·阿基利乌斯·格拉布里奥_(前191年执政官)	Manius Achillius Grabrio_ (Consul 191 BC) 
拜占庭将军问题	Byzantine Generals Question 
履霜破冰掌	Frost breaking palm 
法比安·艾斯宾杜拿	Fabian Espinduna 
麦基尔站	McGill Station 
广州快速公交运输系统	Guangzhou rapid transit system 
吴存荣	Wu Cunrong 
敦平亲王	Prince Dunping 
学习院大学	Gakushuin University 
沙利文县_(纽约州)	Sullivan County_(New York State) 
湖南经视频道	Hunan Classical Video Channel 
里奥布兰科县_(科罗拉多州)	Rio Branco County_ (Colorado) 
终审法院大楼	Court of Final Appeal Building 
新文化运动	New Culture Movement 
爱尔兰共和国法案	Republic of Ireland Act 
内陆帝国_(加利福尼亚州)	Inland Empire_ (California) 
新神户站	Shin Kobe Station 
草蜢足球俱乐部	Grasshopper Football Club 
吉奥利eto足球俱乐部	Gioli eto Football Club 
东伊比利亚语言	East Iberian language 
维达·尼斯查	Vinda Nischa 
冰岛国王	King of Iceland 
劳伦斯利福摩尔国家实验室	Lawrence Livermore National Laboratory 
上海城隍庙	Shanghai City God Temple 
特拉比松帝国	Trabizon Empire 
澳门航空	Air Macau 
上海宋庆龄故居	Shanghai Soong Ching Ling's Former Residence 
维多利亚王后	Queen Victoria 
富山贵光	Toyama Kokou 
中国货币史	Chinese currency history 
梁必业	Liang Biye 
前341年	341 years ago 
新迷幻音乐	New psychedelic music 
贵常在	You are always here 
伊藤大介	Daisuke Ito 
汉翔航空	Hanxiang Airlines 
