节奏蓝调	Rhythm and blues 
【中国教育部区域与国别研究基地】	【Regional and National Research Bases of the Ministry of Education of China】 
莫沙高达	Mosha Gundam 
常飞亚	Chang Feiya 
欧锦棠	Ou Jintang 
贝尔206	Bell 206 
超级偶像1	Super idol 1 
湖南省公安厅	Hunan Provincial Public Security Department 
大野功统	Ono Gongtong 
前270年	270 years ago 
tvn月火连续剧	tvn moonfire series 
北京职工体育服务中心	Beijing Staff Sports Service Center 
皮亚特拉尼亚姆茨恰赫勒乌足球俱乐部	Piatra Neamtschahelau Football Club 
阿拉米达_(加利福尼亚州)	Alameda_ (California) 
亚利桑那州立大学	Arizona State University 
马里北部冲突	Conflict in northern Mali 
中央直辖区	Central Territory 
大流士一世	Darius I 
sbs月火连续剧	sbs moonfire series 
和硕端柔公主	Princess He Shuo Duan Rou 
第3次小泉内阁	The 3rd Koizumi Cabinet 
红宝石设计局	Ruby Design Bureau 
威塞克斯的玛格丽特	Margaret of Wessex 
浙江大学数学科学研究中心	Mathematical Research Center of Zhejiang University 
布列塔尼公爵列表	List of Dukes of Brittany 
丸桥祐介	Yusuke Maru 
agentsheets	agentsheets 
中国人民解放军少将	Major General of the Chinese People's Liberation Army 
中华人民共和国中央军事委员会	The Central Military Commission of the People's Republic of China 
爱尔兰上议院	Irish House of Lords 
乌拉圭足球乙级联赛	Uruguay Football Second Division 
北久保弘之	Hiroyuki Kitakubo 
李守信	Li Shouxin 
hb娱乐	hb entertainment 
平台游戏	Platform game 
许燕露	Xu Yanlu 
韩国放送公社	Korea Broadcasting Corporation 
希腊财政部	Greek Ministry of Finance 
储君配偶	Crown Prince's Spouse 
塞雷_(东比利牛斯省)	Cerès (Pyrenees-Orientales) 
中华民国最高行政法院	Supreme Administrative Court of the Republic of China 
日本天皇列表	List of Emperors of Japan 
berrouaghia	Screws 
强类型	Strong type 
李台熙	Lee Tae Hee 
barathrum	exposed 
高海宁	Gao Haining 
西班牙20岁以下国家足球队	Spain Under-20 National Football Team 
阮文安	Nguyen Van An 
西克斯图斯·亨利王子_(波旁-帕尔马)	Prince Sixtus Henry_ (Bourbon-Parma) 
王冠属地	Crown possession 
chromeo	chromeo 
辽宁各地级市地区生产总值列表	List of regional GDP of each city in Liaoning 
内湖省行政区划	Administrative divisions of Neihu Province 
席琳·狄翁	Celine Dion 
多数制	Majority 
1986年亚洲女子足球锦标赛	1986 Asian Women's Football Championship 
仁寿里_(冈山区)	Renshouli_(Gangshan District) 
登陆之日	Landing day 
利福得	Liford 
拉杰什·库斯拉帕里	Rajesh Kuslapari 
李受美	Li Shoumei 
郭宗清	Guo Zongqing 
国际组织	International organizations 
阿塞拜疆总统	President of Azerbaijan 
日本大学	Nihon University 
德国中央党	German Central Party 
法国荣誉军团勋章	French Legion of Honor 
中苏边界冲突	Sino-Soviet border conflict 
卡洛曼一世	Carloman I 
帕特·奎因	Pat Quinn 
波旁-帕尔玛家族	Bourbon-Parma family 
少年泰坦成员列表	List of Junior Titans 
中意大利联合省	United Province of Central Italy 
圣安德肋教堂_(科隆)	St. Andrew's Church_ (Cologne) 
中央军事委员会办公厅	General Office of the Central Military Commission 
摩德纳足球俱乐部	Modena Football Club 
岛津忠刚	Shimadzu Tadashi 
tnmk	tnmk 
中华民国陆军司令	Commander of the republic of china army 
下营区	Xiaying District 
青海各地州市地区生产总值列表	List of GDP of all prefectures and cities in Qinghai 
伊比利亚半岛	Iberian Peninsula 
奥斯曼帝国大空位期	Ottoman Empire 
自治领	Dominion 
涡轮扇发动机	Turbofan engine 
柬越战争	Cambodia-Vietnam War 
冒险漫画	Adventure Comics 
林夕	Lin Xi 
长岛昭久	Nagashima Akihisa 
英格兰君主配偶列表	List of spouses of the monarch of England 
狂飙突进运动	Hurricane forward movement 
中古波斯语	Middle Persian 
昭陵六骏图卷	Zhaoling Six Horses Scroll 
唐良智	Tang Liangzhi 
塞利亚_(特鲁埃尔省)	Sella_ (Teruel) 
第一次车臣战争	The first Chechen war 
克里欧人	Clio 
哈泰拿泰纳古尔	Hatenathanagur 
马其顿崛起	Rise of Macedonia 
车库朋克	Garage Punk 
咏春_(电视剧)	Wing Chun_ (TV series) 
泉泽仁	Quan Zeren 
斯托克斯定理	Stokes Theorem 
太阳公公	the sun 
韩惪洙	Han Dezhu 
齐锡麟	Qi Xilin 
格鲁吉亚-南奥塞梯冲突	Georgia-South Ossetia conflict 
圣母圣殿_(克拉科夫)	Basilica of Our Lady_ (Krakow) 
伊林娱乐	Yilin Entertainment 
北海银行	North Sea Bank 
荷兰19岁以下国家足球队	Netherlands Under-19 National Football Team 
国防部长(法国)列表	List of Ministers of Defense (France) 
爱尔兰布政司	Ireland 
意大利王国_(1861–1946)	Kingdom of Italy_(1861–1946) 
奥地利维也纳足球俱乐部	Vienna Football Club 
右翼力量联盟	Right wing power alliance 
参议院多数党党鞭	Senate Majority Whip 
情景喜剧	Sitcom 
意大利裔阿根廷人	Italian Argentine 
法国警队	French Police 
大雄宝殿	Daxiong Hall 
安妮-玛丽_(希腊王后)	Anne-Marie_ (Queen of Greece) 
汉口文化体育中心	Hankou Culture and Sports Center 
月刊少年ace	Monthly youth ace 
公民民族主义	Civic nationalism 
复星国际	Fosun International 
波斯湾战争	Persian Gulf War 
三爷里	Sanyeli 
田原丰	Tahara 
mannerheimintie	Mannerheimintie 
慈裕太后	Empress Dowager Ciyu 
国立政治大学	National Chengchi University 
船木结	Funaki knot 
科威特足球协会	Kuwait Football Association 
第一国务大臣	First minister of state 
学校的阶梯_(电视剧)	School Ladder_ (TV series) 
爱德华·卡文迪许，第十代德文郡公爵	Edward Cavendish, 10th Duke of Devonshire 
权敬原	Quan Jingyuan 
interscope唱片公司	interscope record company 
利沃诺足球俱乐部	Livorno Football Club 
阿拉贡的罗德里哥	Rodrigo of Aragon 
饭野町	Iino Town 
京都动画	Kyoto Animation 
湖南省立第三师范学校	Hunan Provincial Third Normal School 
女人30情定水舞间	Women's 30 Love Dancing Water House 
metropolitano球场	metropolitano stadium 
朝鲜劳动党中央委员会	Central Committee of the Workers' Party of Korea 
安藤永伦	Ando 
美国海军陆战队军乐团	U.S. Marine Corps Military Band 
.ae	.ae 
中央部属高校	Central-affiliated universities 
马来西亚统治者列表	List of rulers of Malaysia 
湄洲里	Meizhouli 
阿根廷摇滚	Argentine Rock 
美国正义会社	Justice of America 
智利20岁以下国家足球队	Chile Under-20 National Football Team 
太极乐队	Tai Chi Band 
有线电影强档	Strong file for cable movies 
申园昊	Shen Yuanhao 
有栖川宫炽仁亲王	Prince Yusugawa Palace Chihi 
廖晋硕	Liao Jinshuo 
第二方面军司令	Commander of the second front 
安纳波利斯集团	Annapolis Group 
海地克里奥尔语	Haitian Creole 
裸子植物门	Gymnosperm 
同温层红外线天文台	Stratospheric Infrared Observatory 
林幼芳	Lin Youfang 
坦噶尼喀地区总督	Governor of Tanganyika Region 
写实电影	Realistic movie 
布伦瑞克足球俱乐部	Brunswick Football Club 
恶魔奶爸	Devil Dad 
罗萨里奥中央	Rosario Central 
横滨高速铁道	Yokohama Express Railway 
悉尼奥林匹克足球俱乐部	Sydney Olympic Football Club 
蒋超良	Jiang Chaoliang 
双手互搏	Hands together 
福克纳选区	Faulkner Constituency 
秋元才加	Qiu Yuan Caijia 
高恩南	Gao Ennan 
穆卡托·诺托维狄格多	Mukato Notovedigdo 
血界战线	Blood Front 
热月政变	Hot Moon Coup 
欧洲现实主义	European Realism 
埃及镑	Egyptian Pound 
armv7	armv7 
葡萄牙奥林匹克足球队	Portugal Olympic Football Team 
沙特阿拉伯国徽	Saudi Arabia National Emblem 
比利时17岁以下国家足球队	Belgium Under-17 National Football Team 
游戏开发者	Game developer 
胡启澳	Hu Qiao 
东近江市	Higashiomi City 
福音摇滚	Gospel rock 
甲北里	Jiabei li 
圣萨巴斯战争	War of St. Sabas 
英国海外领土	British Overseas Territories 
游戏机历史_(第三世代)	Game console history_ (third generation) 
1999年亚洲女子足球锦标赛	1999 Asian Women's Football Championship 
八木征志	Masashi Yagi 
吴建新	Wu Jianxin 
tt语音	tt voice 
当代哲学	Contemporary philosophy 
罗本立	Robbenli 
中央人民政府卫生部	Ministry of Health of the Central People's Government 
吴咏琪	Gigi Wu 
智能手表	smart watch 
奈良八重樱	Nara Yaegashi 
地面电视	Terrestrial television 
伊朗国防工业局	Iranian Defense Industry Agency 
巴西民主运动党	Brazilian Democratic Movement Party 
独立游戏	Indie game 
贝里斯元	Belize Dollar 
英国地区政府	British regional government 
铃木公司	Suzuki Corporation 
龙凤斗	Dragon and phoenix 
牛津大学圣休学院	St. Hugh College, Oxford University 
主流爵士乐	Mainstream jazz 
李浚赫	Lee Jun Hyuk 
达德里·莱德，第三代哈罗比伯爵	Dudley Ryder, 3rd Earl of Harroby 
高贵的家园，你美丽的旗帜	Noble home, your beautiful banner 
全北现代汽车	Jeonbuk Hyundai Motor 
让·巴蒂斯特·盖_(马蒂尼亚克子爵)	Jean Baptiste Guyé (Viscount Martignac) 
海润影视	Hairun Television 
卡尔十二世	Karl XII 
高雄市立中正高级工业职业学校	Kaohsiung Zhongzheng Advanced Industrial Vocational School 
极轨道	Polar orbit 
东京都第18区	Tokyo's 18th district 
春秋航空	Spring Airlines 
日本海上自卫队	Japan Maritime Self-Defense Force 
萨克森-哥达-阿尔滕堡	Saxony-Gotha-Altenburg 
雅大墓地	Yada cemetery 
小策零敦多布	Kosaku Ling Tun Dob 
罗马尼亚经济和商业部	Romanian Ministry of Economy and Commerce 
沈阳城门	Shenyang City Gate 
王明方	Wang Mingfang 
佩德罗_(巴西帝国王子)	Pedro_ (Prince of the Brazilian Empire) 
原始宗教	Primitive religion 
吕珊珊	Lu Shanshan 
市场经济	Market economy 
凯恩的遗产系列	Kane's Legacy Series 
明知大学	Mingji University 
汪荣华	Wang Ronghua 
议会-经理制	Council-manager system 
pledis娱乐	pledis entertainment 
牟鹏飞	Mou Pengfei 
英格兰议会	Parliament of England 
李绮华	Li Qihua 
.ar	.With 
德瑞医生	Dr. Dre 
敖德萨海员足球俱乐部	Odessa Seamen Football Club 
转角＊遇到爱	Corner * meet love 
景盛通宝	Jingshengtongbao 
最终幻想xii	Final Fantasy xii 
200欧元纸币	200 euro banknotes 
一夜狂欢	Night party 
天宫一号	Tian-Gong 
罗森斯得实验站	Rosenstead Experimental Station 
弗里德里希·威廉_(霍亨索伦)	Friedrich Wilhelm (Hohenzollern) 
巴伐利亚的艾玛	Emma of Bavaria 
国防部政治作战局	Political Operations Bureau of the Ministry of Defense 
小池纯辉	Koike Junki 
全国广播公司	National Broadcasting Corporation 
意大利天主教民主党	Catholic Democratic Party of Italy 
联合车站_(印第安纳波利斯)	Union Station_ (Indianapolis) 
英国驻丹麦大使	British Ambassador to Denmark 
堪察加语系	Kamchatka language family 
非选区议员	Non-constituency councillor 
约翰十五世	John XV 
三星显示	Samsung Display 
华语流行	Popular Chinese 
奥斯卡最佳女主角奖	Oscar for Best Actress 
现代伊兰特	Hyundai Elantra 
乌克兰文	Ukrainian 
希腊总统列表	List of Presidents of Greece 
张富士夫	Zhang Fujifu 
基督教社会党	Christian Socialist Party 
中华东正教会	Chinese Orthodox Church 
三重县旗	Mie County Flag 
崔德新	Cui Dexin 
闭源软体	Closed source software 
抗日军政大学	Anti-Japanese Military and Political University 
西南通古斯语支	Southwest Tungusic 
1979年中越战争	1979 Sino-Vietnam War 
帕瑞萨娣丝二世	Parasades II 
福岛正则	Fukushima Masanori 
吉尔吉斯共和国国家银行	National Bank of the Kyrgyz Republic 
.pw	.pw 
俄罗斯二队	Russia second team 
北条时政	Hojo Current Affairs 
邹晓利	Zou Xiaoli 
比哈奇	Bihac 
威廉二世_(奥兰治)	William II_ (Orange) 
电子交易	Electronic transaction 
前卫出神音乐	Avant-garde trance music 
basquash!	basquash! 
火炬体育团	Torch Sports Team 
总增加值	Total value added 
尾张国	Owari 
山东省男子队_(2011年)	Shandong Men's Team_ (2011) 
国际关系现实主义	International Relations Realism 
瑞典省份议会	Swedish Provincial Council 
布洛姆贝格条约	Treaty of Blomberg 
罗贝托二世_(帕尔马)	Roberto II_ (Parma) 
宦海奇官	Eunuch 
美国联邦政府	U.S. Federal Government 
红色阵线战士同盟	Red Front Warrior League 
奥地利u18足球代表队	Austrian U18 Football Team 
英国驻法国大使	British Ambassador to France 
参议院少数党领袖	Senate Minority Leader 
苏黎世草蜢足球俱乐部	Zurich Grasshoppers Football Club 
下村博文	Hakubun Shimomura 
名侦探柯南	Detective Conan 
伦敦音乐与戏剧艺术学院	London School of Music and Dramatic Art 
申圭植	Shin Kyu Sik 
笠原绅司	Kasahara Shinji 
邓凯尔德王朝	Dunkeld Dynasty 
教宗巴斯加一世	Pope Basca I 
美国广播公司	ABC 
芝加哥袜队	Chicago Sox 
阿弗雷多·沛雷兹·卢巴卡巴	Alfredo Perez Lubacaba 
秘鲁陆军	Peruvian Army 
哥德字母	Gothic alphabet 
王哲_(足球裁判)	Wang Zhe_(Football Referee) 
意大利足球总会	Italian Football Association 
德利城足球俱乐部	Deli City Football Club 
江苏盐城鼎立足球俱乐部	Jiangsu Yancheng Dingli Football Club 
欧亚大陆	Eurasia 
埃迪尔内	Edirne 
牛津大学基督堂学院	Christ Church College, Oxford University 
国民公会	National Convention 
热河战役	Battle of Jehol 
慈文影视	Ciwen Television 
凯尔特融合	Celtic Fusion 
两伊战争	Iran-Iraq war 
上海轨道交通9号线	Shanghai Rail Transit Line 9 
台北市立松山高级工农职业学校	Taipei Songshan Advanced Industrial and Agricultural Vocational School 
哥伦比亚保守党	Conservative Party of Colombia 
末日三重奏	Doomsday Trio 
雪城(纽约州)	Syracuse (New York State) 
中华人民共和国政府	Government of the People's Republic of China 
李贻衡	Li Yiheng 
真仙魔大战	True fairy war 
武藤将吾	Shogo Muto 
第七届全国人民代表大会常务委员会	Standing Committee of the Seventh National People's Congress 
北京大学中国语言文学系	Department of Chinese Language and Literature, Peking University 
高地德语	High German 
我家3姊妹	My 3 sisters 
迪卡唱片公司	Deca Records 
美国国家安全委员会	National Security Council 
梅克伦堡-施特雷利茨的路易丝	Louise of Mecklenburg-Strelitz 
曾修读香港城市大学	Studied at City University of Hong Kong 
里泽体育	Rize Sports 
教宗路基约一世	Pope Luquillo I 
戈登_(英国国会选区)	Gordon_ (British Parliamentary District) 
沙特阿拉伯行政区划	Administrative divisions of Saudi Arabia 
科学教育	scientific education 
模拟直升机	Simulated helicopter 
并立制	Parallel system 
光明影院	Bright Cinema 
旅馆之嫁	Hotel marriage 
圣护院宫嘉言亲王	Prince Kayan 
巴伐利亚的玛利亚·约瑟法	Maria Josepha of Bavaria 
败犬女王	Queen of Losing Dogs 
罗宝生	Luo Baosheng 
柬埔寨内战	Cambodian Civil War 
乔治华盛顿大学法学院	George Washington University School of Law 
张恒浩	Zhang Henghao 
澳洲足协杯	Australian Football Association Cup 
简·西摩_(英格兰王后)	Jane Seymour_ (Queen of England) 
反恐战争服役奖章	Service Medal in the War on Terrorism 
不结盟运动	Non-aligned movement 
夏天的free&easy	Summer free&easy 
大寮延伸线	Daliao Extension 
尼泊尔君主列表	List of monarchs of Nepal 
何建中	He Jianzhong 
大众cc	Volkswagen cc 
马其顿国王列表	List of Kings of Macedonia 
3世纪	3rd century 
曼恩的阿黛尔	Adele of Mann 
弗兰克-瓦尔特·施泰因迈尔	Frank-Walter Steinmeier 
列格尼卡战役	Battle of Legnica 
寺田贵信	Takanobu Terada 
个人电脑	personal computer 
艾力·奥辛斯达拿	Alec Ossinstadner 
内梅西奥·迭兹体育场	Nemesio Diez Stadium 
罗马共和国_(18世纪)	Roman Republic_ (18th century) 
东条昭平	Tojo Shohei 
中国共产党广东省委员会	Guangdong Provincial Committee of the Communist Party of China 
岩佐守	Iwasamori 
爱国者联盟	Patriot League 
马来西亚足球协会	Malaysian Football Association 
路易萨·玛丽亚_(两西西里)	Luisa Maria_ (Two Sicily) 
越南船民	Vietnamese boat people 
无尽干渴_(穹顶之下)	Endless Thirst_ (under the dome) 
第三人称射击	Third person shooting 
恒星核合成	Stellar nucleosynthesis 
上野原市	Uenohara City 
第三次神圣战争	The third holy war 
西北大学_(伊利诺州)	Northwestern University_ (Illinois) 
嗨↑起来吧	Hey ↑ get up 
交响摇滚	Symphonic Rock 
管国伟	Guan Guowei 
阿伦草地体育会	Allen Meadows Sports Club 
计算神经科学	Computational Neuroscience 
太合麦田	Taihe Wheat Field 
入侵格林纳达	Invasion of Grenada 
季冠霖	Ji Guanlin 
爱尔兰君主配偶列表	List of spouses of Irish monarchs 
伊朗足球甲级联赛	Iran Football League 
缅甸标准时间	Myanmar Standard Time 
玛丽亚·德·拉斯·梅赛德斯_(阿斯图里亚斯女亲王)	Maria de las Mercedes_ (Prince of Asturias) 
城关区_(兰州市)	Chengguan District_(Lanzhou City) 
夏尔·施皮纳塞	Charles Spinasse 
关文深	Guan Wenshen 
克莱蒙特学院	Claremont College 
银河参议院	Galaxy Senate 
松田靖	Matsuda Yasushi 
近藤浩治	Koji Koji 
池田仲博	Nakahiro Ikeda 
1800年联合法令	Union Act 1800 
月刊少年gangan	Monthly Youth Gangan 
音效设计	Sound design 
波士顿篮球合作公司	Boston Basketball Cooperative 
苏联红军	Soviet Red Army 
谭翠珊	Tan Cuishan 
芬兰总理列表	List of Prime Ministers of Finland 
印度民族主义	Indian Nationalism 
小詹姆士·比克坎	James Bickcan Jr 
中华人民共和国农业部	Ministry of Agriculture of the People's Republic of China 
瓜达尔卡纳尔岛战役	Battle of Guadalcanal 
驻日美军	US troops stationed in Japan 
诺基亚产品列表	Nokia product list 
织田信治	Nobuharu Oda 
杜拉拉追婚记	Du Lala Marriage 
同塔足球俱乐部	Tong Thap Football Club 
义大利与盟国停战	Italy and the Allies Truce 
自由民主青年组织	Liberal Democratic Youth Organization 
福田贵代子	Fukuda Kiyoko 
切尔诺夫策大学	Chernivtsi University 
阿尔萨法体育俱乐部	Al Safa Sports Club 
海梅娜_(潘普洛纳)	Jaimena_ (Pamplona) 
中国货运航空	China Cargo Airlines 
刘文庆_(足球运动员)	Liu Wenqing_ (football player) 
异世奇人_(系列3)	Strange People_ (Series 3) 
伊朗外交部部长	Minister of Foreign Affairs of Iran 
李敏_(毛娇娇)	Li Min_(Mao Jiaojiao) 
渡边谦	Ken Watanabe 
伏林航空	Vueling Airlines 
日本进步党	Progressive Party of Japan 
北京金牌大风文化传播有限公司	Beijing Gold Medal Dafeng Culture Communication Co., Ltd. 
德国大学卓越计划	German University Excellence Program 
三保之松原	Miho no Matsubara 
滚石唱片	Rolling Stone Records 
东映广告	Toei Advertising 
车熙林	Che Xilin 
巴西国防部	Brazilian Ministry of Defense 
泰国人	Thai 
公共广播	Public broadcasting 
奥古斯塔斯·腓特烈王子_(萨西克斯公爵)	Prince Augustus Frederick_ (Duke of Sussex) 
昭宫犹仁亲王	Prince Yuren of Zhaogong 
2012年万千星辉颁奖典礼	2012 Thousand Thousand Stars Awards Ceremony 
苏格兰英语	Scottish English 
香港首席大法官	Chief Justice of Hong Kong 
南达科塔州立大学	South Dakota State University 
亨利五世_(神圣罗马帝国)	Henry V_ (Holy Roman Empire) 
东比惠车站	Higashibie Station 
巴基斯坦参议院	Senate of Pakistan 
法国工业和商业部	French Ministry of Industry and Commerce 
奇皇后_(电视剧)	Queen Qi_ (TV series) 
上田文雄	Fumio Ueda 
强相互作用	Strong interaction 
中央人民政府委员会	Central People's Government Committee 
米尔扎·马哈茂德汗	Mirza Mahmoud Khan 
安成公主	Princess Ancheng 
朝鲜民主主义人民共和国中央银行	Central Bank of the Democratic People's Republic of Korea 
第七届全国人民代表大会	Seventh National People's Congress 
松田正久	Masahisa Matsuda 
法属海外领地	French overseas territories 
贝阿特丽丝公主_(爱丁堡和萨克森-科堡-哥达)	Princess Beatrice_ (Edinburgh and Saxony-Coburg-Gotha) 
大洛杉矶地区	Greater Los Angeles 
葛爱美	Ge Aimei 
山额夫	Shan Nafu 
玛格·阿斯奎斯，牛津及阿斯奎斯伯爵夫人	Marg Asquith, Countess of Oxford and Asquith 
圣塔克拉拉大学	Santa Clara University 
恐怖游戏	Horror game 
赛门与葛芬柯	Simon and Geffenco 
国家国防科技工业局	National Defense Technology Industry Administration 
赖德_(新南威尔斯)	Ryder_ (New South Wales) 
法国工程师学院	French Institute of Engineering 
新北市私立光仁高级中学	New Taipei City Private Guangren Senior High School 
bet电视网	bet television network 
法国国王	King of France 
宋亚平	Song Yaping 
斯洛文尼亚总统列表	List of Presidents of Slovenia 
东三条第	Tosanjo 
反乌托邦	Dystopia 
吊人索	Sling 
近藤加寿尾	Kondo Kazuo 
hatehof	hatehof 
苏联军队	Soviet Army 
皆大欢喜_(时装电视剧)	Everyone Happy_ (Fashion TV Series) 
揆常在	揆常在 
伊朗郡	Iran County 
英格兰足总锦标	England Football Association Championship 
筑波未来市	Tsukuba Mirai City 
终极动员令：红色警戒	Ultimate Mobilization Order: Red Alert 
布里亚特共和国国旗	Flag of the Republic of Buryatia 
笃子内亲王	Prince Atsuko 
国际空间站	International Space Station 
池文一	Chi Wenyi 
和田彩花	Ayaka Wada 
义大利入侵阿尔巴尼亚	Italy invaded Albania 
林堡省国王专员列表	List of Commissioners of the King of Limburg 
八条宫智仁亲王	Prince Hachijo Miyachihito 
新生医护管理专科学校	Freshman Medical and Nursing Management College 
荷兰17岁以下国家足球队	Netherlands Under-17 National Football Team 
山乡望	Shanxiangwang 
新营区	Xinying District 
勃艮第统治者列表	List of Burgundy rulers 
中岛翔哉	Shoya Nakajima 
回到爱以前	back to the past love 
我们等你	we will wait for you 
吕多维克-奥斯卡·弗罗萨尔	Ludovic-Oscar Frosal 
阿姆斯特丹足球会	Amsterdam Football Club 
法兰西斯·西摩尔-康韦，第一代赫特福德侯爵	Francis Seymour-Conway, the first Marquis of Hertford 
命运战士	Soldier of Fortune 
普通翠鸟	Common kingfisher 
南云齐	Nan Yunqi 
卢福宁	Lu Funing 
电子浩室	Electronic house 
日本超级杯	Japan Super Cup 
李景杰	Li Jingjie 
核心马来-玻里尼西亚语族	Core Malay-Polynesian 
比利时银行	Bank of Belgium 
苏联空军	Soviet Air Force 
心之羽根	Kokoro no Hane 
纽约市市长	Mayor of New York City 
李大章	Li Dazhang 
金卷兼一	Kenichi Kanemaki 
冯·格康，玛格及合伙人建筑师事务所	Von Gerkan, Marg and Partners Architects 
尼泊尔政府首脑列表	List of Heads of Government of Nepal 
教宗维达	Pope Vader 
浦田直也	Naoya Urata 
沭城街道	Shucheng Jiedao 
他们的世界	Their world 
约瑟夫·克莱·斯泰尔斯·布莱克本	Joseph Clay Styles Blackburn 
惊悚小说	Thriller 
自由球员	Free agent 
澳大利亚17岁以下国家足球队	Australia Under-17 National Football Team 
爱的宿命	Fate of love 
陈晓_(足球运动员)	Chen Xiao_(Football Player) 
日本u20国家女子足球队	Japan U20 National Women's Football Team 
皇家马德里c队	Real Madrid C team 
裴厚民	Pei Houmin 
美洲河狸	American beaver 
河北省人民政府	Hebei Provincial People's Government 
鲛岛员规	Staff Rules 
李秀文_(李宗仁元配)	Li Xiuwen_ (with Li Zongren Yuan) 
utc+01	utc+01 
中国人民解放军火箭军	Chinese People's Liberation Army Rocket Force 
正亲町天皇	Emperor Ogimachi 
澳大利亚副总理	Deputy Prime Minister of Australia 
三浦友和_(音乐人)	Miura Tomokazu_ (Musician) 
爱沙尼亚总理	Prime Minister of Estonia 
爱情公寓_(电视剧)	Love Apartment_(TV series) 
伊拉克总统	President of Iraq 
g3_(演唱会)	g3_(concert) 
美国外交关系委员会	U.S. Council on Foreign Relations 
465号州际公路	Interstate 465 
贤叔辑娱乐经纪	Xian Shu Ji Entertainment Broker 
君士坦丁十一世	Constantine XI 
贝蒂科山脉	Betico Mountains 
世界锡安组织	World Zion Organization 
tms娱乐	tms entertainment 
藤原妍子	Fujiwara Yoko 
第二代康诺及斯特拉森公爵阿莱斯泰尔·温莎	Aleister Windsor, Duke of Connaught and Strathson 
漫威动画	Marvel Animation 
欧洲冠军联赛冠军主教练列表	UEFA Champions League champion coach list 
阵风战斗机	Rafale 
卡尔加里国际机场	Calgary International Airport 
路易七世	Louis VII 
敦阿都拉曼阿巴斯	Tun Abdul Rahman Abbas 
美国东南部	Southeastern United States 
传奇星娱乐	Legend Star Entertainment 
中国科学院院士	Academician of Chinese Academy of Sciences 
塞尔维亚－克罗埃西亚语	Serbo-Croatian 
罗汉柏	Lohan Bo 
电子游戏制片人	Video game producer 
山本启人	Hiroto Yamamoto 
幸存者：全明星	Survivor: All Star 
大不列颠岛	Great Britain 
仁献章圣皇后	Ren Xianzhang Saint Queen 
保罗·弗里德里希_(梅克伦堡-什未林)	Paul Friedrich_ (Mecklenburg-Schwerin) 
奥古斯都陵墓	Mausoleum of Augustus 
锡永足球俱乐部	Sion Football Club 
比利时众议院	Belgian House of Representatives 
自贡话	Zigong dialect 
马里足球协会	Mali Football Association 
方言字	Dialect characters 
东北乐天金鹰	Tohoku Lotte Golden Eagle 
皇家比斯查安特卫普足球会	Royal Bisca Antwerp Football Club 
澳洲17岁以下国家足球队	Australia Under-17 National Football Team 
渡边具能	Watanabe Gunno 
战锤40000：破晓之战	Warhammer 40,000: The Battle of Dawn 
布斯汉姆学校	Bootham School 
威尔斯救护车服务	Wales Ambulance Service 
超级英雄军团	Superhero Legion 
数码间谍	Digital spy 
欢乐计划	Joy plan 
神雕侠侣角色列表	Condor Heroes Character List 
爱尔兰共和主义	Irish Republicanism 
和硕	Heshuo 
莫尔德球场	Molde Stadium 
中央广播电视塔	Central Radio and Television Tower 
软摇滚	Soft rock 
德国房车大师赛	German Touring Car Masters 
法国20岁以下国球足球队	France under-20 national football team 
乔里奥斯军官学校	Chorios Military Academy 
西南英格兰	South West England 
南部皇后足球会	South Queens Football Club 
华策影视	Huace Television 
罗得岛州	Rhode Island 
水星领航员	Mercury Navigator 
mozilla产品列表	mozilla product list 
英联邦大学协会	Association of Commonwealth Universities 
天平胜宝	Tianping Shengbao 
德国足球乙级联赛	German Football League 
布兰代斯大学	Brandeis University 
唐朝君主列表	List of Tang Dynasty Monarchs 
迈亚密国际机场	Miami International Airport 
张永正	Zhang Yongzheng 
竹内成和	Shigekazu Takeuchi 
中国共产党甘肃省委员会	Gansu Provincial Committee of the Communist Party of China 
印度标准时	Indian Standard Time 
林奈奖章	Linnaeus Medal 
大韩民国外交部	Ministry of Foreign Affairs of the Republic of Korea 
菰野菊	Wild Chrysanthemum 
永安市场站	Yongan Market Station 
墨尔本胜利	Melbourne victory 
三协里	Sankyoli 
槙村怜	Makimura Rei 
湖滨中学	Lakeside Middle School 
德意志国经济部长	Minister of Economy of the German State 
武内崇	Takashi Takeuchi 
东欧平原	Eastern European Plain 
河森正治	Shoji Kawamori 
球员票选奖	Player vote award 
查干拉木·杜格尔苏伦	Chaganram Dugarsurun 
蔡强荣	Cai Qiangrong 
长岛海峡	Long Island Strait 
内田直哉	Naoya Uchida 
贾汉吉尔·巴达尔	Jahangir Badar 
范长龙	Fan Changlong 
unkle	unkle 
波音公务机	Boeing Business Jet 
捷克摇滚	Czech Rock 
宁妃_(雍正帝)	Concubine Ning_(Yongzheng Emperor) 
巨轮ii	Great Wheel II 
路易斯大学	Louis University 
家在半山芭	Home in mid-levels 
核心帝汶语群	Core Timorese 
日内瓦高级国际关系及发展学院	Geneva School of Advanced International Relations and Development 
阿涅利家族	Agnelli family 
斯堪的那维亚语支	Scandinavian branch 
野州川	Noshugawa 
巴基斯坦穆斯林联盟（谢里夫派）	Pakistan Muslim League (Sharif) 
莱昂主教座堂	León Cathedral 
西班牙共产主义青年联盟	Spanish Communist Youth League 
斯米尔尼阿波罗足球俱乐部	Smirny Apollo Football Club 
统一民主党	United democratic party 
三立台湾台	Sanli Taiwan 
