桥本由香利	Hashimoto Yukari 
黑田家谱	Kuroda Family Tree 
伏尔加格勒足球俱乐部	Volgograd Football Club 
小普林尼	Pliny the Little 
中国广播电影电视节目交易中心	China Radio, Film and Television Program Trading Center 
刘松藩	Liu Songfan 
天狼星xm卫星广播	Sirius xm satellite radio 
厄尔士山脉奥厄足球会	Oare Football Club 
黄长兴	Huang Changxing 
越南空军	Vietnam Air Force 
荒凉山庄	Desolate Villa 
爱伯佛勒_(斯特灵)	Albert Fowler_ (Stirling) 
bs-tbs	bs-tbs 
纽西兰国家党	New Zealand National Party 
鼠鲨目	Squirrel 
5美元纸币	5 dollars banknotes 
松本山雅足球会	Matsumoto Yamaga Football Club 
三硝基甲苯	Trinitrotoluene 
镇安大君	King Zhen'an 
查尔斯·阿弗烈·克里普斯，第一代帕穆尔男爵	Charles Afred Krips, the first Baron Pamur 
东京工业大学	Tokyo Institute of Technology 
正田巌	Iwao Shoda 
黄禾音乐工作室	Huanghe Music Studio 
塞尔维亚进步党	Serbian Progressive Party 
博茨瓦纳宗教	Religion in Botswana 
深圳世界大学生运动会体育中心	Shenzhen Universiade Sports Center 
阿图瓦的夏尔·费迪南德	Charles Ferdinand of Artois 
河南东方足球俱乐部	Henan Oriental Football Club 
特里亚农条约	Trianon Treaty 
企业挤压	Enterprise Squeeze 
安波罗修共和国	Ambrosian Republic 
小b大任务	Small b big task 
露琪娅公主_(两西西里)	Princess Lucia_(Two Sicily) 
段献忠	Duan Xianzhong 
博迪贺路球场	Bodhi Road Stadium 
丽江体育发展中心体育场	Lijiang Sports Development Center Stadium 
天主教塔坎巴罗教区	Catholic Diocese of Cambaro 
密西根州大学	University of Michigan 
阿根廷国民议会	National Assembly of Argentina 
日本电气	NEC 
米尔顿凯恩斯东北_(英国国会选区)	Milton Keynes Northeast_(British Parliamentary District) 
乌普顿公园球场	Upton Park Stadium 
阿尔比恩流浪足球会	Albion Wanderers Football Club 
八大戏剧台	Eight drama stations 
一柳梦吾	Yiliu Menggo 
大来皇女	Princess Oku 
哈萨克独立日	Kazakh Independence Day 
江世俊	Jiang Shijun 
中国总理	Premier of China 
孙文龙	Sun Wenlong 
越南独立同盟会	Vietnam Independence League 
阿拉伯之春	Arab Spring 
榛睡鼠	Dormouse 
太康公主_(明孝宗)	Princess Taikang_(Ming Xiaozong) 
昌吉回族自治州	Changji Hui Autonomous Prefecture 
东方设计学院	Oriental Design Institute 
铃木望	Suzuki Wang 
佩德罗_(巴西帝国皇子)	Pedro_ (Prince of the Brazilian Empire) 
日本标准时间	Japan Standard Time 
电子游戏机历史_(第七世代)	History of electronic game consoles_ (seventh generation) 
弗雷德里克·阿道夫王子	Prince Frederick Adolf 
同事三分亲	Co-workers 
香草航空	Vanilla Air 
鲁尔包围战	Siege of Ruhr 
gosu	gosu 
古典哲学	Classical philosophy 
csi犯罪现场	csi crime scene 
前375年	375 years ago 
尼泊尔立法议会	Nepal Legislative Assembly 
哈尔滨工业大学	Harbin Institute of Technology 
蛤蟆仙人图	Toad fairy figure 
泰国君主列表	List of Thai monarchs 
新发田市	Shibata City 
教育哲学	Educational philosophy 
反斯大林主义左翼	Anti-Stalinist left 
椙山浩一	Koichi Sugiyama 
台湾汉字	Taiwanese Chinese Characters 
全基成	Jeon Ki Sung 
德涅斯特河沿岸卢布	Ruble along the Transnistria 
真爱如血_(第一季)	True Love is Blood_ (Season One) 
陆天华	Lu Tianhua 
file:bowdoin-wordmark.jpg	file:bowdoin-wordmark.jpg 
南斯拉夫共产主义者联盟	Union of Communists of Yugoslavia 
长株潭小片	Changzhutan small piece 
和谐号crh2型电力动车组	Harmony crh2 electric train set 
中国人民解放军军衔	Ranks of the Chinese People's Liberation Army 
闽中语	Minzhong 
玛丽亚·阿侬奇娅塔公主_(两西西里)	Princess Maria Anunchiata_ (Two Sicily) 
数据科学	Data science 
不丹努尔特鲁姆	Nurtrum, Bhutan 
文部科学大臣	Minister of Education, Culture, Sports, Science and Technology 
朱利安·阿斯奎斯，第二代牛津及阿斯奎斯伯爵	Julian Asquith, second generation Earl of Oxford and Asquith 
罗淑蕾	Luo Shulei 
王子变青蛙	The prince turns into a frog 
布里斯本中央商业区	Brisbane Central Business District 
乔治·华盛顿大学	George Washington University 
朱世珍	Zhu Shizhen 
孙元一	Sun Yuanyi 
森永太平	Morinaga Taihei 
数学分析	Mathematical analysis 
保育运动	Conservation movement 
户冢忠春	Totsuka Tadaharu 
山谷惠里子	Valley eriko 
前17世纪	BC 
黑豹_人中之龙新章	Black Panther_A New Chapter of the Dragon in Man 
李杰翔	Li Jiexiang 
劳资关系、教育和就业部长	Minister of labor relations, education and employment 
稻美町	Inami Town 
绿区_(埼玉市)	Midori Ward_ (Saitama City) 
系统平台	System platform 
nba灌篮大赛冠军	nba slam dunk contest champion 
波兰社会党	Polish Socialist Party 
福冈县旗	Flag of Fukuoka Prefecture 
phi相关系数	phi correlation coefficient 
山岳标准时间	Mountain Standard Time 
三级方程式赛车	Formula Three 
巴西独立战争	Brazilian War of Independence 
梁少华	Liang Shaohua 
道格拉斯_(马恩岛)	Douglas_ (Isle of Man) 
百合花饰	Lily flower decoration 
矢野乔子	Yano Kyoko 
穆罕默德-礼萨·马赫达维·卡尼	Mohamed-Reza Mahdavi Kani 
\ufeff朱世玉	\ufeffZhu Shiyu 
m._thambidurai	ம்._தம்பிதுரை 
朝鲜劳动党第一书记	First Secretary of the Workers' Party of Korea 
metoffice	metoffice 
美国职棒大联盟防御率王	Major League Baseball defense rate leader 
水谷元	Gen Mizutani 
美国政府	American government 
komis	commission 
死亡厄运金属	Death doom metal 
萧小燕	Xiao Xiaoyan 
克里斯蒂安四世	Christian IV 
美国音乐协会	American Music Association 
后卫（足球）	Defender (football) 
中国人民解放军战略支援部队	Chinese People's Liberation Army Strategic Support Force 
参宿七号修理舰_(ar-11)	Samuel VII Repair Ship_(ar-11) 
阿部翔平	Shohei Abe 
南梦宫万代发展	Namco Bandai Development 
英国邮政区号	United Kingdom Postal Code 
巴基斯坦议会	Parliament of pakistan 
田纳西州陆军第三兵团	Tennessee Army Third Corps 
kbs第2频道	kbs channel 2 
自由民主党	Liberal Democratic Party 
新西兰总督	Governor of New Zealand 
威尔明顿_(特拉华州)	Wilmington_ (Delaware) 
纳吉普足球俱乐部	Najip Football Club 
奈良时代	Nara Period 
河本忍	Jin Kawamoto 
阿方索·亨里克斯球场	Alfonso Henriques Stadium 
徐富新	Xu Fuxin 
巴东_(西苏门答腊省)	Padang_(West Sumatra) 
马斯梅赫伦足球俱乐部	Masmechelen Football Club 
只想告诉你	Just want to tell you 
.kz	.kz 
佐藤谦介	Sato Keisuke 
墨西哥雷亚尔	Mexican Real 
乔治梅森大学	George Mason University 
极速快感系列	Speedy Pleasure Series 
西长铁路	Xichang Railway 
环太平洋大学联盟	Pacific Rim University Alliance 
长户大幸	Daiko Nagato 
林肯县_(内布拉斯加州)	Lincoln County_ (Nebraska) 
格鲁吉亚理工大学	Georgia Tech University 
季连	Ji Lian 
拉格茜尔公主	Princess Raghiel 
中国中央电视台西班牙语国际频道	Spanish International Channel of China Central Television 
北美足球联赛	North American Football League 
德铁机动物流	Deutsche Bahn Mobile Logistics 
1812年战争	War of 1812 
金周贤_(政治人物)	Jin Zhouxian_(Politician) 
本笃十四世	Benedict XIV 
情境音乐	Situational music 
汽车制造业	Automotive Manufacturing 
帕斯卡定律	Pascal's Law 
滨海北站	Binhai North Station 
不丹足球协会	Bhutan Football Association 
民族自由主义	National liberalism 
星尘传播	Stardust spread 
张耕_(1965年)	Zhang Geng_ (1965) 
奥斯卡最佳女配角奖	Oscar for Best Supporting Actress 
.tw	.tw 
爱达·勒芙蕾丝	Ada Lovelace 
东北议会	Northeast Parliament 
世袭专政	Hereditary dictatorship 
西北大学协会	Northwestern University Association 
德国g集团军	German Army Group G 
张南锡	Zhang Nanxi 
我美丽的守护天使	My beautiful guardian angel 
方西屏	Fang Xiping 
织田长益(有乐)	Oda Nagasaki (Uraku) 
苏格兰行政区划	Administrative divisions of Scotland 
蓟花勋章	Order of Thistle 
罗马尼亚外交部长列表	List of Romanian Ministers of Foreign Affairs 
第二次延坪海战	The second Yanping naval battle 
美国驻洪都拉斯大使	U.S. Ambassador to Honduras 
内蒙古方言	Inner Mongolian dialect 
京急本线	Keikyu Main Line 
弗雷德里克·汉密尔顿-坦普尔-布莱克伍德，第一代达费林和阿瓦侯爵	Frederick Hamilton-Tempel-Blackwood, the first Dafering and the Marquis of Ava 
津巴布韦储备银行	Reserve Bank of Zimbabwe 
月球勘测轨道飞行器	Lunar Reconnaissance Orbiter 
田秀英	Tian Xiuying 
因斯布鲁克机场	Innsbruck Airport 
护理人员	Nursing staff 
冲浪摇滚	Surf rock 
占美·麦卡伦	Jimmy McAllen 
世纪传媒	Century Media 
威贾雅足球俱乐部	Vijaya Football Club 
重庆足球俱乐部	Chongqing Football Club 
李炳军	Li Bingjun 
巴黎的阿德莱德	Adelaide in Paris 
hroznatín	grapes 
乌克兰内阁	Cabinet of Ukraine 
奇异冥想乐团	Strange Meditation Orchestra 
缅语支	Burmese branch 
广东各地级市面积列表	List of areas of prefecture-level cities in Guangdong 
普鲁士大公	Grand Duke of Prussia 
澳大利亚足球协会	Australian Football Association 
大麻哈鱼	Salmon 
2011/12赛季欧洲冠军联赛	2011/12 season UEFA Champions League 
法国高速列车	French high-speed train 
日本皇军	Imperial Japanese Army 
二村秀树	Nimura Hideki 
巴不得爸爸...	I wish dad... 
陈芷涵	Chen Zhihan 
极限金属	Extreme metal 
益阳奥林匹克公园	Yiyang Olympic Park 
杨力衡	Yang Liheng 
五代高之	Five generations of Gao Zhi 
蝙蝠侠_(1989年电影)	Batman_ (1989 movie) 
社区及地方政府部长	Minister of Community and Local Government 
阿伦航空	Allen Airlines 
.bl	.bl 
尼日利亚足球协会	Nigeria Football Association 
村井泰希	Taiki Murai 
日本赤松	Japanese red pine 
爱情悠悠药草香	Love Yoyo Herbal Scent 
存在现象学	Existential phenomenology 
新圣女公墓	New Virgin Cemetery 
孝明世子	Xiao Ming Shi Zi 
大地测量学	Geodesy 
agm-84鱼叉反舰飞弹	agm-84 Harpoon anti-ship missile 
托木斯克汤姆足球会	Tom Tomsk Football Club 
摩纳哥赛道	Monaco Circuit 
原田笃	Harada Atsushi 
北卡罗来纳柏油脚跟男子篮球队	North Carolina Tar Heel Men's Basketball Team 
堀江庆	Horie Kei 
梦想天堂	Dream paradise 
李显扬	Li Xianyang 
东京国际展示场	Tokyo Big Sight 
杰佛逊堂区_(路易斯安那州)	Jefferson Parish_ (Louisiana) 
库纳雅拉特区	Kunayalat District 
锺志超	Zhong Zhichao 
金烔完	Jin Yongwan 
范良锈	Fan Lianghui 
川村纯义	Kawamura Junyoshi 
俄罗斯苏维埃联邦社会主义共和国部长会议	Council of Ministers of the Russian Soviet Federal Socialist Republic 
富田晋伍	Tomita Jinwu 
奥斯皮塔莱特-德略布雷加特	Ospitalet de Llobregat 
达雅语	Dayak 
abdulkadir_özdemir	abdulkadir_ozdemir 
东千代之介	Higashi Chiyonosuke 
穆罕默德二世	Muhammad II 
莱克巴特勒_(佛罗里达州犹尼昂县)	Lake Butler_ (Union County, Florida) 
祖国联盟-共和国党	Fatherland Union-Republic Party 
林心如工作室	Ruby Lin Studio 
霍杰比	Hojeby 
以法莲·麦克道尔	Ephraim McDowell 
相川茉穗	Maho Aikawa 
第一次卡洛斯战争	The first Carlos war 
樋上至	Higashi 
莎拉·劳伦斯学院	Sarah Lawrence College 
陕西大秦足球俱乐部	Shaanxi Daqin Football Club 
splitsville	splitsville 
古罗马宗教	Roman religion 
eon制片公司	eon production company 
尚小平	Shang Xiaoping 
桑坦德网络	Santander Network 
美亚娱乐	Meiya Entertainment 
山东人	Shandong people 
奇卡诺摇滚	Chicano Rock 
大河内辉耕	Okochichi 
丹麦的乔治勋爵	Lord George of Denmark 
中国共产党第十八届中央委员会第一次全体会议	The First Plenary Session of the 18th Central Committee of the Communist Party of China 
伽地的马格努斯·加百利	Magnus Gabriel 
樱号列车	Sakura Train 
王延翰	Wang Yanhan 
航空喷气公司	Aerojet 
都留短期大学	Tokyo Junior College 
唐人影视	Chinese Film and Television 
tvb娱乐新闻报道	tvb entertainment news report 
乔治·巴顿四世	George Patton IV 
白延龄草	White Trillium 
左翼民粹主义	Left-wing populism 
yevpatoria	yevpatoria 
中国少年先锋队	Chinese Junior Vanguard 
天主教河内总教区	Catholic Archdiocese of Hanoi 
手机游戏	mobile game 
路易斯安那蓝调	Louisiana Blues 
摩尔多瓦独立日	Moldova Independence Day 
中华人民共和国开国大典	The Founding Ceremony of the People's Republic of China 
对马海峡海战	Battle of Tsushima Strait 
坂本昌行	Masayuki Sakamoto 
比约恩·奥瓦尔斯	Bjorn Ovals 
三藩之乱	San Francisco Rebellion 
刘思齐	Liu Siqi 
缅甸中央银行	Central Bank of Myanmar 
核心马来-波利尼西亚语族	Core Malay-Polynesian 
keroro军曹	keroro sergeant 
阿伯穆斯林足球俱乐部	Arbor muslim football club 
创氏改名	Chuang's name changed 
福斯原子能	Flowserve Atomic Energy 
拉塔基亚战役_(2013年)	Battle of Latakia_ (2013) 
gülay_barbarosoğlu	gulay_barbarosoğlu 
中共中央主要负责人	Main person in charge of the CPC Central Committee 
加拿大首席大法官	Chief Justice of Canada 
丰华唱片	Fenghua Records 
上原力也	Rikiya Uehara 
罗彻斯特理工学院	Rochester Institute of Technology 
霍华德·弗洛里，弗洛里男爵	Howard Flory, Baron Flory 
天津利顺德大饭店	Tianjin Astor Hotel 
科隆ii	Cologne II 
曾柏健	Zeng Baijian 
巴黎伯爵	Earl of Paris 
君王万岁	Long live the king 
巴黎高等师范学院	Ecole Normale de Paris 
宪政爱国主义	Constitutional patriotism 
刘千芸	Liu Qianyun 
克拉福德奖	Crawford Prize 
波兰司法部长	Polish Minister of Justice 
西班牙特区	Special Zone of Spain 
佛苯之争	Buddhism 
约旦河西岸地区	West Bank 
中闪米特语支	Middle Semitic 
蒙哥马利县_(德克萨斯州)	Montgomery County_ (Texas) 
雅温得霹雳足球俱乐部	Yaounde Perak Football Club 
香港西联网医院联网	Hong Kong West Cluster Hospital Cluster 
酸性朋克	Acid punk 
儒略年	Julian Year 
菲律宾邮政编码列表	Philippines postal code list 
nasīr_al-dīn_al-tūsī	nasīr_al-dīn_al-tūsī 
苏丹穆罕默德四世体育场	Sultan Mohammed IV Stadium 
维多利亚-迪圣安唐	Vitoria-de-Saint-Anton 
槟城州	Penang 
梁芷珊	Liang Zhishan 
教宗加理多一世	Pope Caledonian 
金光荣大	Jin Guangrong 
madcon	madcon 
夏威夷王国议会	Parliament of the Kingdom of Hawaii 
小松由佳_(声优)	Komatsu Yuka_ (seiyuu) 
哈利法克斯罗伯特·洛恩·斯坦菲尔德国际机场	Halifax Robert Lorne Stanfield International Airport 
美国南大西洋地区	U.S. South Atlantic 
西朗_(甲米地省)	Xilang _ (Ministry of Land and Infrastructure) 
兰开斯特的托马斯，第一代克拉伦斯公爵	Thomas of Lancaster, the first Duke of Clarence 
英国联合主义	British Unionism 
陈玉惠	Chen Yuhui 
本地治里县	Pondicherry County 
凯恩斯机场	Cairns Airport 
孔波斯特拉大学集团	University of Compostela Group 
亚美尼亚自由党	Liberal Party of Armenia 
张玉玫	Zhang Yumei 
赞比亚副总统列表	List of Vice Presidents of Zambia 
交互式娱乐	Interactive entertainment 
亚当斯县_(华盛顿州)	Adams County_ (Washington State) 
泉谷裕	Yutaka Izumiya 
阿斯顿·加特球场	Aston Gart Stadium 
福斯娱乐集团	Fox Entertainment Group 
西安北站	Xi'an North Railway Station 
种族关系	Race relations 
影子教育大臣	Shadow education minister 
大树里	Dashuli 
星野悟	Hoshino Go 
吴凤科技大学	Wufeng University of Science and Technology 
流动应用程式	Mobile app 
方恩珍	Fang Enzhen 
索马里全国联盟	Somali National League 
天堂执法者_(第四季)	Heaven Enforcer_ (Fourth Season) 
东北陆军讲武堂	Northeast Army Lecture Hall 
亨利王子殿下	His Royal Highness Prince Henry 
前峰里	Qianfengli 
汤斯维尔市政府	Townsville City Council 
希腊足球乙级联赛	Greek Football League 
鸠山由纪夫内阁	Cabinet of Yukio Hatoyama 
何勇_(政治人物)	He Yong_(Politician) 
drăgăşani	Drăgăşani 
马德里竞技c	Atletico Madridc 
现在才知道	Just now know 
你是我的唯一	you are my only 
伟大的于格	The great huge 
航空竞技	Aviation Sports 
自由软件运动	Free software movement 
地狱厨房_(英国节目)	Hell's Kitchen_ (UK program) 
八重之樱	Yae no Sakura 
谢德立	Xie Deli 
柳原寻美	Hiromi Yanagihara 
义大利国王	King of Italy 
苏格兰君主配偶列表	List of spouses of Scottish monarchs 
wpch-tv	wpch-tv 
江干体育中心	Jianggan Sports Center 
大宋提刑官	Da Song Ti Criminal Officer 
cnn美国头条新闻	cnn U.S. headlines 
联合中心	United Center 
何启南	He Qinan 
寂静岭系列	Silent Hill Series 
利兹市议会	Leeds City Council 
动物之森系列	Animal Crossing Series 
三笠号战舰	Battleship Mikasa 
宗座梵蒂冈城国委员会主席	Chairman of the Pontifical Council of the Vatican City State 
廖秀冬	Liao Xiudong 
朝鲜中央电视台	North Korean Central Television 
数位音讯播放器	Digital audio player 
高雄捷运公司	Kaohsiung MRT Corporation 
泰芳皇后	Queen Taifang 
朝鲜圆	North Korean Won 
.et	.and 
太平洋赛区	Pacific Division 
松本大辉	Matsumoto Daiki 
亨利_康沃尔公爵	Henry _ Duke of Cornwall 
金庸来	Jin Yonglai 
栋笃笑	Don Duxiao 
机场联络轨道系统	Airport Link Rail System 
香港公务员事务局	Hong Kong Civil Service Bureau 
夏桔花	Summer Orange Flower 
东京防御総督部	Tokyo Defense Department 
宝马方程式	Formula BMW 
夏威夷本土英语	Native Hawaiian English 
.jo	.already 
冈本知刚	Okamoto Tomoko 
南达科他州单一国会选区	Single congressional district of South Dakota 
jubi	jubi 
弗雷德里克斯堡_(德克萨斯州)	Fredericksburg_ (Texas) 
贵人张氏_(朝鲜高宗)	Nobleman Jang Clan_ (Gojong, North Korea) 
前泽希	Maesawa Nozomi 
莫里茨王子_(巴腾堡)	Prince Moritz_ (Batenberg) 
上野寿野	Ueno Toshino 
台湾海峡	Taiwan Strait 
南昌西动车运用所	Nanchang West Railway Station 
约旦足球协会	Jordan Football Association 
云哥达	Yun Geda 
月之恋人	Lovers of the Moon 
1986年美国空袭利比亚	U.S. air strikes on Libya in 1986 
瓦尔德克-皮尔蒙特	Waldeck-Pyrmont 
谭又新	Tan Youxin 
瑞典王后列表	List of Queens of Sweden 
美杜莎	Medusa 
行为哲学	Behavioral philosophy 
克莱孟八世	Clement VIII 
希尔斯波罗县_(佛罗里达州)	Hillsboro County_ (Florida) 
闽越人	Minyue people 
樱兰高校男公关部	Ouran High School Host Club 
人造卫星	Artificial satellite 
温带半干旱大陆性季风气候	Temperate semi-arid continental monsoon climate 
白俄罗斯足球甲级联赛	Belarusian Football League 
广州富力	Guangzhou R&F 
克罗埃西亚摇滚	Croatian Rock 
洛杉矶国王	Los Angeles Kings 
意大利海军	Italian Navy 
伊斯兰法西斯主义	Islamic Fascism 
孟祥伟	Meng Xiangwei 
相反的我	Opposite me 
新加坡总督	Governor of Singapore 
玻尔半径	Bohr radius 
世界拉力锦标赛	World Rally Championship 
英国下议院议长	Speaker of the House of Commons 
多博伊	Doboi 
广东奥林匹克体育中心	Guangdong Olympic Sports Center 
.kr	.kr 
上北双子	Shangbei Gemini 
阿布查哈乌江	Abu Chaha Wujiang 
贝克、波加特与阿比特	Baker, Bogart and Abit 
约旦大学	University of Jordan 
二本松市	Nihonmatsu City 
富察氏	Fuchs 
进攻中场	Offensive midfielder 
马德里体育馆	Madrid Arena 
罗马尼亚民主党大会	Romanian Democratic Party 
单内核	Single core 
曾伟权	Zeng Weiquan 
阿闭皇子	A closed prince 
印度最多人口的城市列表	List of most populous cities in India 
叙利亚空军	Syrian Air Force 
2018年夏季青年奥林匹克运动会	2018 Summer Youth Olympic Games 
戴维斯_(港督)	Davis_ (Hong Kong Governor) 
老唐纳德·威尔士·道格拉斯	Donald Welsh Douglas Sr 
核物理学	Nuclear physics 
叙利亚革命指挥委员会	Syrian Revolution Command Committee 
冰火五重天	Ice and Fire Five Heavens 
反天主教	Anti-Catholic 
中欧时区	Central European Time Zone 
社交网路服务	Social network service 
台北市立兰雅国民中学毕业	Graduated from Taipei Lanya National High School 
爱情急整室	Love rush room 
中山久美子	Nakayama Kumiko 
王多年	Wang years 
托尔马切沃机场	Tolmachevo Airport 
联合进步联盟	United Progress Alliance 
赵香奇	Zhao Xiangqi 
村上和弘	Kazuhiro Murakami 
波特萨莫-希尔内科斯攻势	Portsamo-Hiernekos offensive 
约翰蓝侬/塑胶小野乐团	John Lennon/Plastic Ono Orchestra 
中顽童	Middle urchin 
幻成院英晃常晖大童子	The big boy of Yinghuang Changhui 
儿岛雄一	Kojima Yuichi 
丰见城市	Tomomi City 
肯顿_(新泽西州)	Camden_(New Jersey) 
吴昌炽	Wu Changchi 
阿尔戈斯的波丽克拉提亚	Polycratia of Argos 
数字版权管理	Digital rights management 
厄瓜多尔乙组足球联赛	Ecuador Group B Football League 
神魔小说	Fiction 
利布尔讷圣瑟兰足球会	Libourne Saint Serin Football Club 
佩萨罗	Pesaro 
海军中将	Vice Admiral 
阿尔巴尼亚列克	Albanian Lek 
克波拉区_(昆士兰州)	Keppola District_ (Queensland) 
芦洲机厂	Luzhou Machinery Factory 
自由民主党国会对策委员会	Liberal Democratic Party Congressional Countermeasures Committee 
韦莱特里	Velletri 
周江勇	Zhou Jiangyong 
动画情景喜剧	Animated sitcoms 
沙姆士兵伊斯兰联盟	Sham Soldiers Islamic League 
山本美月	Mizuki Yamamoto 
施派尔主教座堂	Speyer Cathedral 
施洗者约翰	John the Baptist 
项姓	Item 
2005年英国国会议员大选	2005 British Parliamentary Election 
中国进步党	Chinese Progressive Party 
奥平信昌	Okudaira Nobumasa 
中共中央统一战线工作部	United Front Work Department of the CPC Central Committee 
阿里海牙	Ali the Hague 
mbc水木迷你连续剧	mbc Mizuki mini series 
平尾道雄	Michio Hirao 
德永千奈美	Chinami Tokunaga 
伊拉克副总统	Vice President of Iraq 
正田惠美子	Emiko Masada 
综艺晓松	Variety Show Xiao Song 
统一阿布哈兹	Unify Abkhazia 
杉村升	Noboru Sugimura 
关系数据库	relational database 
威秀娱乐集团	Village Show Entertainment Group 
谢正义	Xie Zhengyi 
武定里	Wudingli 
元气妈妈	Vitality mother 
芳德邻医院	Fontaine Hospital 
美国联邦第七巡回上诉法院	U.S. Court of Appeals for the Seventh Circuit 
茶是故乡浓	Tea is hometown strong 
上田稔	Minoru Ueda 
牛蛙制作	Bullfrog Making 
蝙蝠家庭	Bat family 
中华人民共和国立法法	Legislation Law of the People's Republic of China 
约瑟夫·蒂埃里	Joseph Thierry 
共聚焦显微镜	Confocal microscope 
垮掉的一代	Beat generation 
哈布斯堡-洛林皇朝	Habsburg-Lorraine Dynasty 
李锡铭	Li Ximing 
曾沛慈	Zeng Peici 
马也	Ma Ye 
黑田忠之	Tadayuki Kuroda 
贞圣王后	Queen of Saints 
上海博物馆	ShangHai museum 
塞尔维亚公国	Principality of Serbia 
橡树岭附属大学	Oak Ridge University 
美式橄榄球	American football 
东京振武学校	Tokyo Zhenwu School 
崔秉烈	Cui Binglie 
郝明珠	Hao Mingzhu 
.dj	.dj 
寺田绅一	Terada Shinichi 
异常的一元论	Abnormal monism 
滨海布洛涅	Boulogne-sur-Mer 
苅田町	Kanda Town 
北京大学西门	West Gate of Peking University 
维基媒体基金会	Wikimedia Foundation 
美国能源部	U.S. Department of Energy 
阿积士足球俱乐部	Ajax Football Club 
斯里维加亚足球俱乐部	Sriwijaya Football Club 
莫斯科鱼雷	Moscow Torpedo 
地平装置	Horizon device 
格奥尔格-汉斯·莱因哈特	Georg-Hans Reinhardt 
深圳红钻	Shenzhen Red Diamond 
李旼赫	Lee Min Hyuk 
马里科帕县	Maricopa County 
矢野贵章	Kisho Yano 
社会保守主义	Social conservatism 
数理逻辑	Mathematical logic 
jp:朴台洪	jp: Park Taehong 
台中清泉岗机场	Taichung Airport 
马来西亚高等教育部	Ministry of Higher Education of Malaysia 
闽民系	Hokkien 
创新、工业、科学暨研究部长	Minister of Innovation, Industry, Science and Research 
为泰党	For the Thai party 
越南国会主席	Chairman of the National Assembly of Vietnam 
青岛里	Qingdaoli 
科罗拉多大峡谷	Colorado Grand Canyon 
王荣平	Wang Rongping 
教宗本笃二世	Pope Benedict II 
教宗沙彬	Pope Shabin 
中阿尔冈昆语支	Middle Algonquin 
幸野志有人	Kono Shitoto 
格奥尔格·维克多_(瓦尔德克和皮尔蒙特)	Georg Victor_ (Waldeck and Pyrmont) 
高尔基汽车厂	Gorky Automobile Plant 
绿色环境党	Green Environment Party 
中国航天科工集团	China Aerospace Science and Industry Corporation 
让-克洛德·特里谢	Jean-Claude Trichet 
艺术创作硕士	Master of Art Creation 
中洲里_(旗山区)	Zhongzhouli_(Qishan District) 
中华人民共和国超大城市列表	List of mega cities in the People's Republic of China 
马拉尼昂联邦大学	Federal University of Maranhao 
山樱花	Mountain cherry 
旺旺中时媒体集团	Want Want Zhongshi Media Group 
贾西姆本哈马德体育场	Jasim Bin Hamad Stadium 
法国国家u20国家足球队	French national u20 national football team 
意大利战争	Italian war 
雷亚尔城区	Real City 
新闻阅读器	News reader 
越南共产党中央书记处	Secretariat of the Communist Party of Vietnam 
基本粒子	elementary particle 
浩室流行	House fashion 
日心轨道	Heliocentric orbit 
昆特仑理工大学	Kwantlen University of Technology 
朱安_(鲁迅夫人)	Zhu An_ (Mrs. Lu Xun) 
本木雅弘	Masahiro Motoki 
德威弗尔的劳合·乔治伯爵	Lord Lloyd George of Dwyver 
雪菲尔哈伦_(英国国会选区)	Sheffield Hallun_ (UK Parliamentary District) 
岐阜纪念中心长良川竞技场	Gifu Memorial Center Nagaragawa Arena 
杀手千钧一发	Killer 
久我誓圆	Kuga Oath 
法国国家u16国家足球队	French national u16 national football team 
călimăneşti	Călimăneşti 
玛丽亚·特蕾西亚_(奥地利皇后)	Maria Theresia_ (Queen of Austria) 
jvc建伍	jvc kenwood 
贺韵芝	He Yunzhi 
英式摇滚	British Rock 
古田宽幸	Kanyuki Furuta 
弗雷德里克王子_(约克和奥尔巴尼公爵)	Prince Frederick_ (Duke of York and Albany) 
bălți	ponds 
韦洛坡内阁	Willopo Cabinet 
禔子内亲王	Prince inside 
染井吉野樱	Yoshino cherry tree 
国际饭店	International Hotel 
lipophobicity	lipophobicity 
张光世	Zhang Guangshi 
格拉斯哥市议会	Glasgow City Council 
唐纳德一世_(皮克特人)	Donald I_ (Pikts) 
德国联邦议会	German Bundestag 
电子鼓乐器	Electronic drum instrument 
中华人民共和国人民法院法徽	The People's Court of the People's Republic of China 
君子剑	Gentleman sword 
中央公园球场	Central Park Stadium 
清水胜则	Katsunori Shimizu 
黄三平	Huang Sanping 
欧洲女子足球锦标赛	European Women's Football Championship 
程志明	Cheng Zhiming 
维拉克鲁兹_(巴伊亚州)	Vera Cruz_ (Bahia) 
泽尼察-多博伊州	Zenica-Doboj Region 
阿卡围城战_(1291年)	Siege of Akka_ (1291) 
澳大利亚20岁以下国家足球俱乐部	Australian Under-20 National Football Club 
拉谦域	Lachenfield 
奥斯陆大学	University of Oslo 
爱尔兰杯	Irish Cup 
邓允肾	Deng Yunshen 
兹沃勒足球俱乐部体育场	Zwolle Football Club Stadium 
陈兆禧	Chen Zhaoxi 
德国国会大厦	Reichstag Building 
萧孟能	Xiao Mengneng 
青年小说	Youth fiction 
塞奇菲尔德_(英国国会选区)	Sedgefield_(British Parliamentary District) 
玉女剑法	Jade Girl Swordsmanship 
